Date Occurred,Description,Latitude,Longitude,Category,Dataset
8/28/16 0:00,Sex Offender Location,34.02898275,-118.5006,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02483423,-118.5032296,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,33.99831209,-118.4798479,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.03769269,-118.49791,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,33.99917049,-118.478077,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.01035178,-118.4802351,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.01961314,-118.4896802,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02040486,-118.4759583,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.033477,-118.518542,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02282997,-118.5026206,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.01668768,-118.4899879,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.01633709,-118.4822452,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02237006,-118.466075,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02154324,-118.47349,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02005836,-118.4736986,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02034241,-118.4868228,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02503863,-118.5015988,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.01182979,-118.4690598,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.0195129,-118.4766905,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02355726,-118.4705773,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02095348,-118.4838596,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.00472594,-118.4718245,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.02212833,-118.4963587,Sex Offender,Points of Interest
8/28/16 0:00,Sex Offender Location,34.03491292,-118.4706997,Sex Offender,Points of Interest
8/28/16 0:00,WIFI Location,33.99744464,-118.4801419,Wifi Location,Points of Interest
8/28/16 0:00,Coffee Store,33.997676,-118.479233,Restaurant/Bar,Business
8/28/16 0:00,Ice Cream / Yogurt Store,33.997676,-118.479233,Restaurant/Bar,Business
8/28/16 0:00,WIFI Location,33.9978743,-118.4795949,Wifi Location,Points of Interest
8/28/16 0:00,Coffee House,33.997906,-118.479471,Restaurant/Bar,Business
8/28/16 0:00,Consumer Products,33.997906,-118.479471,Retail,Business
8/28/16 0:00,Cigarette; Cigars; Tobacco,33.99792735,-118.4795483,Grocery,Business
8/28/16 0:00,Health Food,33.998236,-118.479809,Beauty/Wellness,Business
8/28/16 0:00,Skincare,33.998287,-118.48048,Beauty/Wellness,Business
8/28/16 0:00,Psychotherapy,33.998307,-118.480449,Medical,Business
8/28/16 0:00,Used Books,33.998376,-118.480344,Retail,Business
8/28/16 0:00,Skincare,33.99840635,-118.480348,Beauty/Wellness,Business
8/28/16 0:00,Health Club,33.998412,-118.479983,Beauty/Wellness,Business
8/28/16 0:00,Florist,33.99841243,-118.4803391,Beauty/Wellness,Business
8/28/16 0:00,Skincare,33.99842459,-118.4803212,Beauty/Wellness,Business
8/28/16 0:00,Clothing / Accessories,33.99843119,-118.4799644,Retail,Business
8/28/16 0:00,Restaurant,33.9984528,-118.479986,Restaurant/Bar,Business
8/28/16 0:00,Psychotherapy,33.99845499,-118.4802764,Medical,Business
8/28/16 0:00,Miscellaneous Wholesale,33.998477,-118.48019,Retail,Business
8/28/16 0:00,Bicycle Dealer; Repair,33.99861909,-118.4799311,Repair,Business
8/28/16 0:00,Clothing / Accessories,33.99862617,-118.4799206,Retail,Business
8/28/16 0:00,Clothing / Accessories,33.99864033,-118.4798996,Retail,Business
8/28/16 0:00,Restaurant with Entertainment Permit,33.998678,-118.480246,Restaurant/Bar,Business
8/28/16 0:00,Clothing / Accessories,33.998689,-118.480257,Retail,Business
8/28/16 0:00,Clothing / Accessories,33.998739,-118.480307,Retail,Business
8/28/16 0:00,Restaurant with Entertainment Permit,33.998752,-118.481072,Restaurant/Bar,Business
8/28/16 0:00,Restaurant,33.998867,-118.485416,Restaurant/Bar,Business
8/28/16 0:00,Clothing / Accessories,33.99888103,-118.4804084,Retail,Business
8/28/16 0:00,Clothing / Accessories,33.998909,-118.480474,Retail,Business
8/28/16 0:00,Home Furnishings,33.99894648,-118.4804737,Retail,Business
8/28/16 0:00,Jewelry,33.998958,-118.480523,Retail,Business
8/28/16 0:00,Bar,33.998965,-118.480531,Restaurant/Bar,Business
8/28/16 0:00,Nail Salon,33.99898013,-118.4805905,Beauty/Wellness,Business
8/28/16 0:00,Psychotherapy,33.998982,-118.47941,Medical,Business
8/28/16 0:00,Clothing / Accessories,33.99902969,-118.4805554,Retail,Business
8/28/16 0:00,Liquor Store,33.999147,-118.480711,Grocery,Business
8/28/16 0:00,Restaurant,33.999152,-118.480716,Restaurant/Bar,Business
8/28/16 0:00,Restaurant,33.99917737,-118.4807044,Restaurant/Bar,Business
8/28/16 0:00,Nail Salon,33.999191,-118.480755,Beauty/Wellness,Business
8/28/16 0:00,Restaurant,33.99921,-118.480774,Restaurant/Bar,Business
8/28/16 0:00,Clothing / Accessories,33.99924729,-118.480863,Retail,Business
8/28/16 0:00,Cigarette; Cigars; Tobacco,33.999268,-118.480831,Grocery,Business
8/28/16 0:00,Restaurant with Entertainment Permit,33.999269,-118.480833,Restaurant/Bar,Business
8/28/16 0:00,WIFI Location,33.99934497,-118.4818022,Wifi Location,Points of Interest
8/28/16 0:00,Bakery; Baked Goods,33.99935231,-118.4808889,Restaurant/Bar,Business
8/28/16 0:00,Coffee House,33.99935923,-118.4809799,Restaurant/Bar,Business
8/28/16 0:00,Restaurant,33.999379,-118.480942,Restaurant/Bar,Business
8/28/16 0:00,Coffee Store,33.999406,-118.480969,Restaurant/Bar,Business
8/28/16 0:00,WIFI Location,33.99943031,-118.4811444,Wifi Location,Points of Interest
8/28/16 0:00,Jewelry,33.999451,-118.481014,Retail,Business
8/28/16 0:00,Psychologist,33.999683,-118.480906,Medical,Business
