Call_Type,Beat
STRING,STRING
Armed Robbery,A005
Armed Robbery,A004
Armed Robbery,A004
Armed Robbery,A008
Armed Robbery,A004
Armed Robbery,A003
Armed Robbery,A006
Armed Robbery,B002
Armed Robbery,A004
Armed Robbery,A007
Armed Robbery,A004
Armed Robbery,B001
Armed Robbery,A002
Armed Robbery,A008
Armed Robbery,A004
Armed Robbery,B001
Armed Robbery,A008
Armed Robbery,A008
Armed Robbery,A006
Armed Robbery,B004
Armed Robbery,B002
Armed Robbery,A006
Armed Robbery,A007
Armed Robbery,A007
Armed Robbery,B001
Armed Robbery,A008
Armed Robbery,B002
Armed Robbery,A006
Armed Robbery,A006
Armed Robbery,A002
Armed Robbery,A002
Armed Robbery,A008
Armed Robbery,B001
Armed Robbery,A003
Armed Robbery,A005
Armed Robbery,A003
Armed Robbery,A003
Armed Robbery,B004
Armed Robbery,A006
Armed Robbery,A008
Armed Robbery,A002
Armed Robbery,B001
Armed Robbery,B001
Armed Robbery/Auto Theft,A002
Arson,B001
Arson,B004
Arson,B001
Arson,A003
Arson,B003
Arson,B003
Arson,B003
Arson,B003
Arson,B003
Arson,B001
Arson,B003
Arson,B001
Arson,B001
Arson,B001
Arson,A004
Arson,A004
Arson,B001
Arson,B003
Arson,A007
Arson,B003
Arson,A008
Arson,A008
Arson,A008
Arson,A008
Arson,A007
Arson,A006
Arson,A007
Arson,A008
Arson,A007
Arson,A007
Arson,B001
Arson,B001
Arson,A006
Arson,A008
Arson,A003
Arson,A001
Arson,A005
Arson,A002
Arson,B002
Arson,A006
Arson,A008
Arson,B002
Assault,A006
Assault,B001
Assault,A002
Assault,A006
Assault,A003
Assault,A003
Assault,A003
Assault,A004
Assault,B001
Assault,A004
Assault,A003
Assault,A003
Assault,B001
Assault,A004
Assault,B003
Assault,A003
Assault,B001
Assault,A006
Assault,A003
Assault,A007
Assault,B003
Assault,B004
Assault,A006
Assault,A003
Assault,A004
Assault,B003
Assault,B003
Assault,B001
Assault,A003
Assault,A006
Assault,B001
Assault,A006
Assault,A008
Assault,B003
Assault,B003
Assault,A008
Assault,A008
Assault,B003
Assault,A007
Assault,A007
Assault,B001
Assault,A006
Assault,B001
Assault,B001
Assault,B001
Assault,B001
Assault,B002
Assault,B001
Assault,B002
