License Number,DBA,Firm Name,Address,City,State,Zip Code,Business Type,Map Point
163760,Romy Simone Cosmetic & Medical Acupuncture,Romy Schwartz,900 WILSHIRE BLVD #318,SANTA MONICA,CA,90401,Acupuncture,"900 WILSHIRE BLVD #318
SANTA MONICA, CA 90401-1872
(34.02306742500008, -118.49338078499994)"
155566,Primal Healing Inc,,900 WILSHIRE BLVD #435,SANTA MONICA,CA,90401,Acupuncture,"900 WILSHIRE BLVD #435
SANTA MONICA, CA 90401-1872
(34.02306742500008, -118.49338078499994)"
155704,Be Well Medical Inc,,900 WILSHIRE BLVD #314,SANTA MONICA,CA,90401,Acupuncture,"900 WILSHIRE BLVD #314
SANTA MONICA, CA 90401-1872
(34.023191, -118.493271)"
152945,Christina Choi,,1411 7TH ST #120,SANTA MONICA,CA,90401,Acupuncture,"1411 7TH ST #120
SANTA MONICA, CA 90401-2683
(34.018384, -118.49193)"
51077,Health Point West,,1434 6TH ST #7,SANTA MONICA,CA,90401,Acupuncture,"1434 6TH ST #7
SANTA MONICA, CA 90401-2540
(34.017267, -118.492471)"
61883,Tsubakiyama Acupuncture Clinic Inc.,,1227 LINCOLN BLVD #303,SANTA MONICA,CA,90401,Acupuncture,"1227 LINCOLN BLVD #303
SANTA MONICA, CA 90401-1783
(34.021504, -118.493733)"
155165,Konosuke Sugiura L.Ac.,,1227 LINCOLN BLVD #303,SANTA MONICA,CA,90401,Acupuncture,"1227 LINCOLN BLVD #303
SANTA MONICA, CA 90401-1783
(34.021532586000035, -118.49374029699999)"
212697,"Alissa Koritsoglou, L.Ac.",,1460 4TH ST,SANTA MONICA,CA,90401,Acupuncture,"1460 4TH ST
SANTA MONICA, CA 90401-2309
(34.01517775100007, -118.49377832199997)"
162043,Audrey Guss LAc,,900 WILSHIRE BLVD #435,SANTA MONICA,CA,90401,Acupuncture,"900 WILSHIRE BLVD #435
SANTA MONICA, CA 90401-1872
(34.02306742500008, -118.49338078499994)"
84431,Guan Yin Acupuncture & Herbals,,1003 WILSHIRE BLVD #203,SANTA MONICA,CA,90401,Acupuncture,"1003 WILSHIRE BLVD #203
SANTA MONICA, CA 90401-1927
(34.023953, -118.492338)"
163061,Nobuko Ide L Ac,,900 WILSHIRE BLVD #318,SANTA MONICA,CA,90401,Acupuncture,"900 WILSHIRE BLVD #318
SANTA MONICA, CA 90401-1872
(34.02306742500008, -118.49338078499994)"
155925,Meridian Wellness Center,,1247 7TH ST #202,SANTA MONICA,CA,90401,Acupuncture,"1247 7TH ST #202
SANTA MONICA, CA 90401-1643
(34.020362, -118.494232)"
73532,"Diane Black, L. Ac",,506 SANTA MONICA BLVD #317,SANTA MONICA,CA,90401,Acupuncture,"506 SANTA MONICA BLVD #317
SANTA MONICA, CA 90401-2434
(34.01736, -118.493976)"
114442,Linda Modaro L Ac,,528 ARIZONA AVE #208,SANTA MONICA,CA,90401,Acupuncture,"528 ARIZONA AVE #208
SANTA MONICA, CA 90401-1411
(34.019092, -118.495086)"
141622,DJamal Kord L.A.c,,528 ARIZONA AVE #208,SANTA MONICA,CA,90401,Acupuncture,"528 ARIZONA AVE #208
SANTA MONICA, CA 90401-1411
(34.019092, -118.495086)"
88354,Pacific Park,S M Amusenments L L C,380 SANTA MONICA PIER,SANTA MONICA,CA,90401,Amusement Park,"380 SANTA MONICA PIER
SANTA MONICA, CA 90401-3128
(34.009849, -118.496802)"
158615,Fossil,Fossil Stores Inc,1416 3RD STREET PROM,SANTA MONICA,CA,90401,Apparel,"1416 3RD STREET PROM
SANTA MONICA, CA 90401-2322
(34.015433, -118.495842)"
150709,Hugo Boss,Century Retail Group Inc,395 SANTA MONICA PLACE #162,SANTA MONICA,CA,90401,Apparel,"395 SANTA MONICA PLACE #162
SANTA MONICA, CA 90401-2372
(34.015022388000034, -118.49376113799997)"
216159,Footaction #57219,"Foot Locker Retail, Inc.",1247 3RD STREET PROMENADE,SANTA MONICA,CA,90401,Apparel,"1247 3RD STREET PROMENADE
SANTA MONICA, CA 90401-1307
(34.017701, -118.498521)"
