Call Type,Latitude,Longitude,_,
Armed Robbery,34.04494444,-118.4782917,1,
Armed Robbery,34.03641667,-118.4687917,1,
Armed Robbery,34.03113889,-118.4795972,1,
Armed Robbery,34.00926389,-118.48775,1,
Armed Robbery,34.01419445,-118.49625,1,
Armed Robbery,34.03020833,-118.4845694,1,
Armed Robbery,34.01372222,-118.492,1,
Armed Robbery,34.02713889,-118.4883611,1,
Armed Robbery,34.01306945,-118.4838611,1,
Armed Robbery,34.01555556,-118.4767778,1,
Armed Robbery,34.01947222,-118.4694444,1,
Armed Robbery,34.03369444,-118.5006111,1

