Call Type,Location
STRING,STRING
Armed Robbery,12TH ST / MARGUERITA AVE
Armed Robbery,12TH ST / OLYMPIC BLVD
Armed Robbery,12TH ST / WILSHIRE BLVD
Armed Robbery,1300BLK PICO BLVD
Armed Robbery,1400BLK 15TH ST
Armed Robbery,1400BLK 2ND ST
Armed Robbery,1400BLK BERKELEY ST
Armed Robbery,1400BLK PEARL ST
Armed Robbery,1400BLK WILSHIRE BLVD
Armed Robbery,1600BLK PICO BLVD
Armed Robbery,1600BLK SANTA MONICA BLVD
Armed Robbery,1600BLK THE BEACH
Armed Robbery,1700BLK LINCOLN BLVD
Armed Robbery,1800BLK LINCOLN BLVD
Armed Robbery,1800BLK WILSHIRE BLVD
Armed Robbery,2000BLK OCEAN AVE
Armed Robbery,2000BLK PICO BLVD
Armed Robbery,2000BLK PICO BLVD
Armed Robbery,2000BLK WILSHIRE BLVD
Armed Robbery,200BLK MONTANA AVE
Armed Robbery,20TH ST / PICO BLVD
Armed Robbery,2100BLK SANTA MONICA BLVD
Armed Robbery,21ST ST / MARINE ST
Armed Robbery,2200BLK LINCOLN BLVD
Armed Robbery,2200BLK THE BEACH
Armed Robbery,2200BLK VIRGINIA AVE
Armed Robbery,2400BLK OAK ST
Armed Robbery,2900BLK SANTA MONICA BLVD
Armed Robbery,3000BLK ARIZONA AVE
Armed Robbery,300BLK PICO BLVD
Armed Robbery,300BLK PICO BLVD
Armed Robbery,3300BLK PICO BLVD
Armed Robbery,400BLK ARIZONA
Armed Robbery,4TH ST / COLORADO AVE
Armed Robbery,500BLK 17TH ST
Armed Robbery,500BLK BROADWAY
Armed Robbery,700BLK BROADWAY
Armed Robbery,800BLK 14TH ST
Armed Robbery,800BLK FRANKLIN ST
Armed Robbery,CLOVERFIELD BLVD / VIRGINIA AVE
Armed Robbery,"KEARNEY STREET, PORTSMOUTH SQUARE"
Armed Robbery,MAIN ST / MARINE ST
Armed Robbery,MAIN ST/HILL ST
Armed Robbery/Auto Theft,300BLK OLYMPIC DR
Arson,1000BLK THE BEACH
Arson,1100BLK 14TH ST
Arson,1100BLK 7TH ST
Arson,1100BLK LINCOLN BLVD
Arson,1200BLK OLYMPIC BLVD
Arson,1200BLK SANTA MONICA BLVD
Arson,1200BLK SANTA MONICA BLVD
Arson,12TH ST / SANTA MONICA BLVD
Arson,12TH ST / WILSHIRE BLVD
Arson,1300BLK 2ND ST
Arson,1400BLK 14TH ST
Arson,1400BLK 2ND ST
Arson,1400BLK 2ND ST
Arson,1400BLK 3RD STREET PROM
Arson,1400BLK EUCLID ST
Arson,1400BLK SANTA MONICA BLVD
Arson,1600BLK OCEAN FRONT WALK
Arson,16TH ST / SANTA MONICA BLVD
Arson,18TH ST / HILL ST
Arson,1900BLK 19TH ST
Arson,1900BLK CLOVERFIELD BLVD
Arson,1900BLK PICO BLVD
Arson,2000BLK 20TH ST
Arson,2000BLK VIRGINIA AVE
Arson,2100BLK OCEAN PARK BLVD
Arson,2100BLK PENNSYLVANIA AVE
Arson,2200BLK LINCOLN BLVD
Arson,2200BLK VIRGINIA AVE
Arson,2400BLK 16TH ST
Arson,2600BLK LINCOLN BLVD
Arson,2600BLK MAIN ST 
Arson,300BLK SANTA MONICA BLVD 
Arson,3100BLK VIRGINIA AVE
Arson,3300BLK PICO BLVD
Arson,3RD STREET PROM / WILSHIRE BLVD
Arson,400BLK SANTA MONICA PIER
Arson,500BLK 25TH ST
Arson,600BLK PICO BLVD
Arson,700BLK COPELAND CT
Arson,800BLK 26TH ST
Arson,CLOVERFIELD BLVD / INTERSTATE 10
Arson,CLOVERFIELD BLVD / OCEAN PARK BLVD
Assault,1000BLK 26TH ST
Assault,100BLK BROADWAY
Assault,100BLK KINNEY ST
Assault,1100BLK 21ST ST
Assault,1100BLK 3RD ST
Assault,1100BLK 7TH ST
Assault,1200BLK 3RD STREET PROM
Assault,1200BLK LINCOLN BLVD
Assault,1200BLK PALISADES BEACH RD 
Assault,1300BLK 15TH ST
Assault,1300BLK 3RD STREET PROM
Assault,1300BLK 3RD STREET PROM 
Assault,1300BLK 3RD STREET PROM 
Assault,1400BLK 15TH ST
Assault,1400BLK 17TH ST
Assault,1400BLK 4TH ST
Assault,1400BLK 4TH ST 
Assault,1400BLK CLOVERFIELD BLVD
Assault,1400BLK LINCOLN BLVD
Assault,1400BLK OCEAN PARK BLVD
Assault,14TH ST / MICHIGAN AVE
Assault,14TH ST / SAN VICENTE BLVD
Assault,1500BLK BERKELEY ST
Assault,1500BLK LINCOLN BLVD
Assault,1500BLK LINCOLN BLVD
Assault,1500BLK LINCOLN BLVD 
Assault,1500BLK MICHIGAN AVE
Assault,1500BLK OCEAN AVE
Assault,1500BLK PALISADES PARK
Assault,1600BLK CLOVERFIELD BLVD
Assault,1600BLK OCEAN FRONT WALK
Assault,1700BLK CLOVERFIELD BLVD
Assault,1800BLK 10TH ST
Assault,1800BLK 18TH ST
Assault,1800BLK LINCOLN BLVD
Assault,1900BLK 12TH ST
Assault,1900BLK PICO BLVD
Assault,1900BLK PICO BLVD 
Assault,19TH ST / PICO BLVD
Assault,2000BLK 14TH ST
Assault,2000BLK OCEAN AVE
Assault,2000BLK SANTA MONICA BLVD
Assault,200BLK HILL ST
Assault,200BLK PACIFIC ST
Assault,200BLK SANTA MONICA BLVD
Assault,200BLK SANTA MONICA BLVD
Assault,2200BLK 24TH ST
Assault,2300BLK MAIN ST 
Assault,2300BLK OAK ST
Assault,2400BLK 20TH ST
Assault,2400BLK 26TH ST
Assault,2400BLK 3RD ST
Assault,2400BLK THE BEACH
